Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1650506977837,21/04/2022 02:09:37,1650506977677,-5,20/04/2022 21:09:37,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
2,1650507109309,21/04/2022 02:11:49,1650507108791,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-1,18-24 years old
3,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-1-quantised,3
4,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-2-hour,00
5,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-2-minute,00
6,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-3,"""Yes! Please protect my expensive trip for $30"""
7,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-3-quantised,1
8,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-4,flight insurance 
9,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-5-hour,00
10,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-5-minute,00
11,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-6,Purchase Optional Flight Protection for $30
12,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-6-quantised,1
13,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-7,flight insurance 
14,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-8-hour,00
15,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-8-minute,00
16,1650507109465,21/04/2022 02:11:49,1650507108823,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,END QUESTIONNAIRE,131146
1,1650506995844,21/04/2022 02:09:55,1650506995673,-4,20/04/2022 22:09:55,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
2,1650507151374,21/04/2022 02:12:31,1650507150656,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-1,18-24 years old
3,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-1-quantised,3
4,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-2-hour,10
5,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-2-minute,11
6,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-3,"""No I don't want to protect my $350 trip"""
7,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-3-quantised,2
8,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-4,flight protection that will help me reschedule/reimburse me if something happens to my flight
9,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-5-hour,10
10,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-5-minute,11
11,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-6,Do not purchase Optional Flight Protection for $30
12,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-6-quantised,2
13,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-7,same thing as before 
14,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-8-hour,10
15,1650507151586,21/04/2022 02:12:31,1650507150659,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,response-8-minute,12
16,1650507151586,21/04/2022 02:12:31,1650507150660,-4,20/04/2022 22:12:30,86280,3,questionnaire-j7ji,,21399412,BLIND,6330697,,complete,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,END QUESTIONNAIRE,154987
1,1650507360452,21/04/2022 02:16:00,1650507360313,-4,20/04/2022 22:16:00,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x740,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
2,1650507362499,21/04/2022 02:16:02,1650507362430,-4,20/04/2022 22:16:02,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x740,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
3,1650507689975,21/04/2022 02:21:29,1650507689465,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-1,55-64 years old
4,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-1-quantised,7
5,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-2-hour,22
6,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-2-minute,16
7,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-3,"""No I don't want to protect my $350 trip"""
8,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-3-quantised,2
9,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-4,They'll cover baggage damage at no cost to client
10,1650507690132,21/04/2022 02:21:30,1650507689468,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-5-hour,22
11,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-5-minute,18
12,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-6,Do not purchase Optional Flight Protection for $30
13,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-6-quantised,2
14,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-7,"30.00 will get you ""priority "" investigation. Your paying to move up to head of line"
15,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-8-hour,22
16,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,response-8-minute,21
17,1650507690132,21/04/2022 02:21:30,1650507689469,-4,20/04/2022 22:21:29,86280,3,questionnaire-j7ji,,21399441,BLIND,6330701,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4.1,428x926,428x845,,Ethics Dark Patterns,4,No,END QUESTIONNAIRE,327039
1,1650507805964,21/04/2022 02:23:25,1650507805838,-5,20/04/2022 21:23:25,86280,3,questionnaire-j7ji,,21399495,BLIND,6330713,,live,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,414x714,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
1,1650508733878,21/04/2022 02:38:53,1650508733722,-5,20/04/2022 21:38:53,86280,3,questionnaire-j7ji,,21399593,BLIND,6330728,,live,,,mobile,Apple iPhone,iOS 15.4,Chrome 100.0.4896.85,390x844,390x669,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
1,1650517069531,21/04/2022 04:57:49,1650517069399,-5,20/04/2022 23:57:49,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
2,1650517245885,21/04/2022 05:00:45,1650517245568,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-1,18-24 years old
3,1650517246056,21/04/2022 05:00:46,1650517245569,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-1-quantised,3
4,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-2-hour,11
5,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-2-minute,58
6,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-3,"""No I don't want to protect my $350 trip"""
7,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-3-quantised,2
8,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-4,"baggage protection, flight cancellation reimbursement, and proirity seat upgrade "
9,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-5-hour,11
10,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-5-minute,59
11,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-6,Purchase Optional Flight Protection for $30
12,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-6-quantised,1
13,1650517246056,21/04/2022 05:00:46,1650517245570,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-7,"baggage protection, flight cancellation reimbursement, and priority seat upgradde "
14,1650517246056,21/04/2022 05:00:46,1650517245571,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-8-hour,12
15,1650517246056,21/04/2022 05:00:46,1650517245571,-5,21/04/2022 00:00:45,86280,3,questionnaire-j7ji,,21400143,BLIND,6330855,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 77.0.3865.90,1440x900,1344x686,,Ethics Dark Patterns,4,No,response-8-minute,00
